"","total_counts","pval","HR"
"1.01",179,0.00956475966620548,3.54579929718183
"1.05",5658,0.00921228122255233,3.15595223064818
"2.01",67,0.0155273390026793,3.33152159877778
"2.05",59,0.277988409675424,1.63857256775487
"3.01",347,0.00405253495881019,4.22749008390953
"3.05",354,0.0158777155522294,0.278620007766367
"4.01",6,0.159457412128675,2.24144034202943
"4.05",86,0.205747846695307,1.89792235749521
"5.01",28,0.120101754804692,2.38357603704139
"5.05",185,0.0404379034728863,2.85038078759173
"6.01",66,0.105955413512759,2.46649099133147
"6.05",13,0.806735673397269,1.16395406302074
"7.01",154,0.00246078386090139,0.179482119399527
"7.05",14,0.39710816861248,1.71596287136017
"8.01",43,0.036363278170527,0.208452853200892
"8.05",1288,0.0252398201788877,0.314854959389361
"9.01",6,0.720436627701627,1.30638080322788
"9.05",19,0.353229418722118,1.80792791072745
"10.01",154,0.00933334263995147,0.278092385755402
"10.05",285,0.149123557343885,2.18675973508603
"11.01",1729,0.0262660735616711,0.322300768929252
"11.05",101,0.098761650836869,2.32463227543408
"12.01",7,0.0735040317219785,3.14290219797305
"12.05",7124,0.00562126551291424,0.172019878014128
"13.01",26,0.158799156666796,0.407123809504667
"13.05",199,0.0179677922869872,0.332294996522616
"14.01",11,0.404304268485045,0.421350359081164
"14.05",192,0.0289546591464941,0.321582078671682
"15.05",31,0.40924180518193,0.625335226900738
"16.05",5,0.824679852906351,1.14739441777875
"17.05",19,0.0735040317219785,3.14290219797305
"18.05",5,0.333315115157121,1.85569272402148
"19.05",319,0.0367123089829606,0.313876709454943
"20.05",103,0.0716828551253734,0.368174434641136
"21.05",104,0.206498505072158,1.93896358340827
"22.05",7,0.201476939841049,3.9760781195719
"23.05",5,0.201476939841049,3.9760781195719
